year,tb_inc_per_100k,tb_inc_cases,tbhiv_pct,tbhiv_cases,tb_mort_per_100k,tb_deaths
2000,827.0,17000.0,69.0,11000.0,268.0,5400.0
2001,923.0,18000.0,70.0,13000.0,418.0,8400.0
2002,1010.0,20000.0,71.0,14000.0,384.0,7700.0
2003,1080.0,22000.0,72.0,15000.0,350.0,7000.0
2004,1150.0,23000.0,72.0,16000.0,441.0,8700.0
2005,1200.0,23000.0,73.0,17000.0,493.0,9600.0
2006,1230.0,24000.0,74.0,18000.0,468.0,9100.0
2007,1230.0,24000.0,75.0,18000.0,443.0,8600.0
2008,1240.0,24000.0,76.0,18000.0,483.0,9500.0
2009,1230.0,24000.0,77.0,19000.0,476.0,9400.0
2010,1180.0,24000.0,77.0,18000.0,464.0,9300.0
2011,1120.0,23000.0,75.0,17000.0,420.0,8500.0
2012,1040.0,21000.0,74.0,16000.0,394.0,8000.0
2013,948.0,19000.0,74.0,14000.0,366.0,7500.0
2014,853.0,18000.0,72.0,13000.0,322.0,6700.0
2015,780.0,16000.0,72.0,12000.0,311.0,6600.0
2016,721.0,15000.0,72.0,11000.0,281.0,6000.0
2017,681.0,15000.0,70.0,10000.0,260.0,5600.0
2018,659.0,14000.0,66.0,9500.0,242.0,5300.0
2019,654.0,14000.0,62.0,8900.0,235.0,5200.0
2020,599.0,13000.0,64.0,8100.0,229.0,5100.0
2021,606.0,14000.0,64.0,8300.0,239.0,5400.0
2022,611.0,14000.0,62.0,8300.0,236.0,5400.0
2023,584.0,14000.0,62.0,7900.0,210.0,4800.0
2024,548.0,13000.0,62.0,7500.0,187.0,4400.0
