country,region,tbhiv_pct,tbhiv_cases,tb_inc_cases,pct_check
Lesotho,Africa,62.0,7500.0,13000.0,57.7
Zimbabwe,Africa,62.0,20000.0,34000.0,58.8
Eswatini,Africa,60.0,2200.0,4000.0,55.0
South Africa,Africa,54.0,134000.0,249000.0,53.8
Equatorial Guinea,Africa,53.0,2000.0,3800.0,52.6
Botswana,Africa,44.0,1600.0,3600.0,44.4
Malawi,Africa,43.0,11000.0,24000.0,45.8
Uganda,Africa,33.0,33000.0,99000.0,33.3
Zambia,Africa,32.0,19000.0,58000.0,32.8
Namibia,Africa,31.0,3800.0,13000.0,29.2
Gabon,Africa,30.0,2800.0,9400.0,29.8
Guinea-Bissau,Africa,27.0,1000.0,3900.0,25.6
Russian Federation,Europe,25.0,12000.0,49000.0,24.5
Central African Republic,Africa,23.0,5100.0,22000.0,23.2
Dominican Republic,Americas,23.0,1300.0,5800.0,22.4
Kenya,Africa,23.0,25000.0,117000.0,21.4
Mozambique,Africa,23.0,29000.0,125000.0,23.2
Turkmenistan,Europe,22.0,660.0,3000.0,22.0
Ukraine,Europe,20.0,6400.0,33000.0,19.4
Ecuador,Americas,17.0,2000.0,12000.0,16.7
