country,region,tb_inc_per_100k,tb_inc_cases,tbhiv_pct
Kiribati,W. Pacific,945.0,1300.0,0.46
Papua New Guinea,W. Pacific,664.0,70000.0,5.1
Philippines,W. Pacific,625.0,724000.0,0.76
Lesotho,Africa,548.0,13000.0,62.0
Timor-Leste,SE Asia,496.0,6900.0,1.4
Djibouti,E. Mediterranean,495.0,5800.0,3.4
Myanmar,SE Asia,482.0,263000.0,6.2
Mongolia,W. Pacific,446.0,16000.0,0.07
Namibia,Africa,422.0,13000.0,31.0
Central African Republic,Africa,419.0,22000.0,23.0
Marshall Islands,W. Pacific,411.0,150.0,0.0
South Africa,Africa,389.0,249000.0,54.0
Indonesia,W. Pacific,382.0,1080000.0,3.0
Democratic Republic of the Congo,Africa,377.0,412000.0,5.6
Angola,Africa,373.0,141000.0,6.5
Sierra Leone,Africa,372.0,32000.0,14.0
Gabon,Africa,371.0,9400.0,30.0
Mozambique,Africa,361.0,125000.0,23.0
South Sudan,Africa,320.0,38000.0,9.4
Eswatini,Africa,319.0,4000.0,60.0
